date,daily_score,daily_pos_count,daily_neg_count,sentiment_5dma,sentiment_vol,sentiment_momentum,sentiment_available
2008-07-25,-0.1701392060257165,0,0,-0.10684612764858985,0.06580028078413974,-0.06329307837712665,0
2008-07-28,-0.4494852361583459,0,0,-0.16624551004513635,0.16955502295433458,-0.2832397261132096,0
2008-07-29,-0.5905079571426038,0,0,-0.2823527291952842,0.22537100650704972,-0.30815522794731964,0
2008-07-30,-0.305121345511884,0,0,-0.3291672365533319,0.1924054539777666,0.024045891041447887,0
2008-07-31,0.01781557668987983,0,0,-0.29948763362973413,0.2369790028537354,0.31730321031961395,0
2008-08-01,0.035567938040129456,0,0,-0.2583462048165649,0.2791524340452922,0.29391414285669437,0
2008-08-04,-0.004568523002504247,0,0,-0.16936286218539656,0.2738535794403688,0.16479433918289232,0
2008-08-05,0.10934613161493414,0,0,-0.02939204443388897,0.15995272348240772,0.1387381760488231,0
2008-08-06,0.12853600505670026,0,0,0.05733942567982788,0.058400292808058495,0.07119657937687238,0
2008-08-07,0.11368977881608969,0,0,0.07651426610506987,0.057916387864752034,0.03717551271101982,0
2008-08-08,0.12916338264061764,0,0,0.0952333550251675,0.056481276041669186,0.03393002761545014,0
2008-08-11,0.22245629863411004,0,0,0.14063831935249035,0.046577212153658135,0.08181797928161968,0
2008-08-12,0.1431316728628451,0,0,0.14739542760207253,0.043233291590132804,-0.004263754739227438,0
2008-08-13,0.1251825080597108,0,0,0.14672472820267465,0.0436232644190533,-0.021542220142963864,0
2008-08-14,0.11299047263543438,0,0,0.1465848669665436,0.04375657409513843,-0.03359439433110922,0
2008-08-18,0.0,0,0,0.12075219043842007,0.07985225471240755,-0.12075219043842007,0
2008-08-19,0.11957143183155125,0,0,0.1001752170779083,0.05710984970701615,0.01939621475364295,0
2008-08-20,0.13692290451616942,0,0,0.09893346340857316,0.05599902992867881,0.037989441107596264,0
2008-08-21,0.07200530412025148,0,0,0.08829802262068132,0.054804461099458655,-0.016292718500429834,0
2008-08-22,0.08974053336746465,0,0,0.08364803476708736,0.053146889937086064,0.006092498600377291,0
2008-08-25,-0.1412596756902211,0,0,0.05539609962904314,0.1127984850823254,-0.19665577531926426,0
2008-08-26,0.13314748076652147,0,0,0.05811130941603719,0.114873773260062,0.07503617135048428,0
2008-08-27,0.13784041443491207,0,0,0.05829481139978572,0.11503176673424817,0.07954560303512635,0
2008-08-28,0.09046224153711953,0,0,0.06198619888315933,0.11587478551787075,0.0284760426539602,0
2008-08-29,0.11090523482047694,0,0,0.06621913917376179,0.11751706658194486,0.04468609564671515,0
2008-09-01,0.11215813337777734,0,0,0.11690270098736148,0.01910405148554747,-0.004744567609584138,0
2008-09-02,0.12574108615842283,0,0,0.11542142206574173,0.017770146164214944,0.010319664092681105,0
2008-09-04,0.09159662238675341,0,0,0.10617266365611003,0.015003537741867723,-0.014576041269356618,0
2008-09-05,0.04611649264783926,0,0,0.09730351387825395,0.03109277168086732,-0.05118702123041469,0
2008-09-08,0.09555861220089061,0,0,0.0942341893543367,0.030157817839252476,0.001324422846553916,0
